# location_rad, location_deg, concentration,weight
9.195513357920050979e-01, 5.268641058649905062e+01, 2.534585273319169829e+00, 4.463496058802310373e-01
2.757344180839598202e+00, 1.579841842270662085e+02, 1.723318092088047493e+01, 5.536503941197690182e-01
