# location_rad,location_deg,concentration,weight
2.877320802759824048e+00, 1.648583383033319194e+02, 4.915215522651948277e+01, 3.779149992051268891e-01
2.342465295739390552e+00, 1.342133751017312875e+02, 9.936454115010489474e+00, 2.619619456550890124e-01
1.150550501242779133e-01, 6.592168783787262676e+00, 1.039863533753973286e+02, 1.030548905615228245e-01
9.208892567402205964e-01, 5.276306781015394165e+01, 5.372598083796024326e+00, 2.570681645782610936e-01
